uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ct:S',skos:Concept,S',colt:quartaireeenheid,,Niet gedifferentieerd facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:U,skos:Concept,U,colt:quartaireeenheid,,Onbekend,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:V',skos:Concept,V',colt:quartaireeenheid,,Venig complex,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:V1,skos:Concept,V1,colt:quartaireeenheid,,Veen op kleiig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:V2,skos:Concept,V2,colt:quartaireeenheid,,Veen op zandig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:W1,skos:Concept,W1,colt:quartaireeenheid,,Klei en/of zand over gehele sequentie en bedekt met eolische afzettingen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:W3,skos:Concept,W3,colt:quartaireeenheid,,Klei en/of zand over de gehele sequentie en bedekt met eolische afzettingen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:X,skos:Concept,X,colt:quartaireeenheid,,"Saale, continentaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:X1,skos:Concept,X1,colt:quartaireeenheid,,Klei en/of zand over de gehele sequentie zonder veenlagen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:X11,skos:Concept,X11,colt:quartaireeenheid,,"Klei en/of zand, geulopvulling over gehele sequentie",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:X2,skos:Concept,X2,colt:quartaireeenheid,,Klei en/of zand met aan de basis het basisveen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:X3,skos:Concept,X3,colt:quartaireeenheid,,Klei en/of zand over de gehele sequentie met aan het huidige oppervlak een dunne veenlaag,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:X4,skos:Concept,X4,colt:quartaireeenheid,,Klei en/of zand over de gehele sequentie met aan het huidige oppervlak een dunne veenlaag en aan de basis het basisveen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Y,skos:Concept,Y,colt:quartaireeenheid,,Pre-Saale continentaal,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Y1,skos:Concept,Y1,colt:quartaireeenheid,,Klei en/of zand met intercalaties van één of meerdere verlandingsvenen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Y2,skos:Concept,Y2,colt:quartaireeenheid,,Klei en/of zand met intercalaties van één of meerdere verlandingsvenen en aan de basis het basisveen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Y4,skos:Concept,Y4,colt:quartaireeenheid,,Afwisseling van klei en/of zand met een dunne veenlaag aan het oppervlak en aan de basis het basisveen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Z,skos:Concept,Z,colt:quartaireeenheid,,Zand,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Z3,skos:Concept,Z3,colt:quartaireeenheid,,Veen en/of organisch gyttja over de gehele sequentie met aan de top een klei- of zandlaag waarvan de dikte kleiner is dan de dikte van de veenlaag,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:A01,skos:Concept,A01,colt:quartaireeenheid,,"Aangebracht, antropogeen - /",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:a',skos:Concept,a',colt:quartaireeenheid,,Lichte zandleem tot silt,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:b,skos:Concept,b,colt:quartaireeenheid,,"Holoceen, Pleistoceen, continentaal alluvium",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:c,skos:Concept,c,colt:quartaireeenheid,,Eemiaan continentaal,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:c°,skos:Concept,c°,colt:quartaireeenheid,,"Fining-up cyclus, mogelijks met veen",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:d,skos:Concept,d,colt:quartaireeenheid,,"Weichseliaan, continentaal, eolisch",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:d1,skos:Concept,d1,colt:quartaireeenheid,,Kleiig facies op zandig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:e,skos:Concept,e,colt:quartaireeenheid,,"Eemiaan, marien",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:e',skos:Concept,e',colt:quartaireeenheid,,"Niet gedifferentieerd facies, mogelijks veen",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:f,skos:Concept,f,colt:quartaireeenheid,,"Weichseliaan, continentaal, fluviatiel, periglaciaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:f',skos:Concept,f',colt:quartaireeenheid,,Niet gedifferentieerd fijn klastisch facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
